"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"1",700923,"Stock or  Irrigation",NA,NA,85,"WATER",462719,1996-04-20,NA,NA,NA,NA,NA,0.6,NA,TRUE
"2",700923,"Stock or  Irrigation",NA,NA,85,"WATER",462720,1996-04-20,NA,NA,NA,NA,NA,0.5,NA,TRUE
"3",700923,"Stock or  Irrigation",NA,NA,85,"WATER",462721,1996-04-20,NA,NA,NA,NA,NA,0.6,NA,TRUE
"4",700923,"Stock or  Irrigation",NA,NA,85,"WATER",462722,1996-04-29,2,NA,NA,NA,NA,NA,NA,TRUE
"5",702121,"Ground Water","164715","0338229",650,"WATER",467535,1998-07-16,NA,NA,NA,NA,NA,NA,4.4,TRUE
"6",702121,"Ground Water","164715","0338229",650,"WATER",533405,2013-01-16,NA,NA,NA,NA,NA,NA,18.5,TRUE
"7",702121,"Ground Water","164715","0338229",650,"WATER",533408,2012-02-28,NA,NA,NA,NA,NA,NA,14.7,TRUE
"8",702122,"Domestic Well","174778",NA,673,"WATER",467536,1998-07-21,NA,NA,NA,NA,NA,NA,5.4,TRUE
"9",703207,"Municipal",NA,NA,846,"WATER",468040,2001-06-14,NA,2.1,NA,NA,NA,NA,NA,TRUE
"10",703207,"Municipal",NA,NA,846,"WATER",549737,2016-05-13,NA,NA,NA,NA,NA,NA,6.3,TRUE
"11",703281,"Domestic Well","6590","0280627",240,"WATER",468302,2006-05-30,NA,NA,NA,NA,NA,NA,3.2,TRUE
"12",703281,"Domestic Well","6590","0280627",240,"WATER",536503,2014-02-26,NA,NA,NA,NA,NA,NA,7.4,TRUE
"13",703281,"Domestic Well","6590","0280627",240,"WATER",541604,2015-02-25,NA,NA,NA,NA,NA,NA,8,TRUE
"14",703535,"Ground Water",NA,NA,NA,"WATER",464481,1994-06-09,NA,6.5,NA,NA,NA,NA,NA,TRUE
"15",703535,"Ground Water",NA,NA,NA,"WATER",464482,1994-06-09,NA,6.5,NA,NA,NA,NA,NA,TRUE
"16",703548,"Domestic Well","220547","0450998",NA,"WATER",464509,2002-11-22,NA,9,NA,NA,NA,NA,7.1,TRUE
"17",703549,"Domestic Well",NA,NA,720,"WATER",464512,2002-11-22,NA,NA,NA,NA,NA,NA,0.35,TRUE
"18",703550,"Domestic Well","212870","0434292",700,"WATER",464515,2002-11-22,NA,NA,NA,NA,NA,NA,2.3,TRUE
"19",703551,"Domestic Well","185114","0379527",680,"WATER",464518,2002-11-22,NA,NA,NA,NA,NA,NA,1.1,TRUE
"20",703697,"Domestic Well","230143","0467674",743,"WATER",464700,2006-05-30,NA,NA,NA,NA,NA,NA,7.3,TRUE
"21",703697,"Domestic Well","230143","0467674",743,"WATER",464702,2008-06-08,NA,NA,NA,NA,NA,NA,6.8,TRUE
"22",703698,"Domestic Well","35966","9063815",748,"WATER",464709,2006-05-30,NA,1.2,NA,NA,NA,NA,6.3,TRUE
"23",703698,"Domestic Well","35966","9063815",748,"WATER",464711,2008-06-08,NA,NA,NA,NA,NA,NA,3.2,TRUE
"24",703874,"Domestic Well","217420","0518333",380,"WATER",607546,2018-10-03,NA,NA,NA,NA,NA,NA,7.54,TRUE
"25",704130,"Domestic Well","265213","0542655",35,"WATER",471446,2005-03-07,NA,NA,NA,NA,NA,NA,9.8,TRUE
"26",704130,"Domestic Well","265213","0542655",35,"WATER",471448,2005-04-07,NA,NA,NA,NA,NA,NA,12,TRUE
"27",704130,"Domestic Well","265213","0542655",35,"WATER",471450,2005-04-07,NA,NA,NA,NA,NA,NA,11,TRUE
"28",704171,"Domestic Well","97796",NA,345,"WATER",472580,2004-09-09,NA,NA,NA,NA,NA,NA,0.04,TRUE
"29",704172,"Domestic Well","93689",NA,396,"WATER",472581,2004-07-30,NA,NA,NA,NA,NA,NA,0.0014,TRUE
"30",704173,"Domestic Well","94043",NA,345,"WATER",472582,2004-09-09,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"31",704174,"Domestic Well","156126",NA,350,"WATER",472583,2004-09-09,NA,NA,NA,NA,NA,NA,0.07,TRUE
"32",704199,"Domestic Well","92951",NA,350,"WATER",474160,2004-07-17,NA,NA,NA,NA,NA,NA,0.0078,TRUE
"33",704584,"Domestic Well","160124",NA,860,"WATER",475312,2006-01-06,NA,NA,NA,NA,NA,NA,9,TRUE
"34",704596,"Domestic Well",NA,NA,NA,"WATER",475334,2006-02-02,NA,NA,NA,NA,NA,NA,0.005,TRUE
"35",704597,"Domestic Well","258457","0525972",465,"WATER",475336,2005-12-15,NA,89,NA,NA,NA,NA,5.8,TRUE
"36",704609,"Domestic Well",NA,NA,NA,"WATER",475354,2006-03-07,NA,NA,NA,NA,NA,NA,0.005,TRUE
"37",704610,"Stock or  Irrigation",NA,NA,NA,"WATER",475355,2006-03-07,NA,NA,NA,NA,NA,NA,0.005,TRUE
"38",704612,"Domestic Well","262907","0537649",360,"WATER",475357,2006-02-08,NA,53,NA,NA,NA,NA,NA,TRUE
"39",704612,"Domestic Well","262907","0537649",360,"WATER",475358,2006-03-27,NA,52,NA,NA,NA,NA,NA,TRUE
"40",704628,"Domestic Well","252959","0536997",340,"WATER",475395,2006-10-17,NA,NA,NA,NA,NA,NA,2.8,TRUE
"41",704661,"Domestic Well","263163","0537241",400,"WATER",475428,2006-07-01,NA,NA,NA,NA,NA,NA,5,TRUE
"42",704665,"Domestic Well",NA,NA,675,"WATER",475435,2006-05-31,NA,NA,NA,NA,NA,NA,4.8,TRUE
"43",704666,"Domestic Well","119597",NA,600,"WATER",475437,2006-05-31,NA,NA,NA,NA,NA,NA,10,TRUE
"44",704667,"Domestic Well","245251",NA,680,"WATER",475439,2006-05-31,NA,NA,NA,NA,NA,NA,2.3,TRUE
"45",704668,"Domestic Well","175417",NA,682,"WATER",475441,2006-05-31,NA,NA,NA,NA,NA,NA,0.0062,TRUE
"46",704669,"Domestic Well","239547",NA,680,"WATER",475443,2006-05-31,NA,NA,NA,NA,NA,NA,2.8,TRUE
"47",704670,"Domestic Well","131570",NA,715,"WATER",475445,2006-05-31,NA,NA,NA,NA,NA,NA,5.9,TRUE
"48",704673,"Domestic Well","222779",NA,650,"WATER",475448,2006-06-23,NA,NA,NA,NA,NA,NA,0.02,TRUE
"49",704679,"Domestic Well","14448",NA,1200,"WATER",475455,2006-07-31,NA,NA,NA,NA,NA,NA,12,TRUE
"50",704680,"Domestic Well","146058","0267068",510,"WATER",475457,2006-07-28,NA,NA,NA,NA,NA,NA,4.7,TRUE
"51",704700,"Ground Water","269807","3606398",520,"WATER",475581,2006-09-25,NA,31,NA,NA,NA,NA,0.005,TRUE
"52",704700,"Ground Water","269807","3606398",520,"WATER",475582,2008-03-18,NA,1.6,NA,NA,NA,NA,0.0087,TRUE
"53",704700,"Ground Water","269807","3606398",520,"WATER",539453,2014-09-05,9.1,NA,NA,NA,NA,NA,0.054,TRUE
"54",704700,"Ground Water","269807","3606398",520,"WATER",539460,2014-10-01,6.8,NA,NA,NA,NA,NA,NA,TRUE
"55",704700,"Ground Water","269807","3606398",520,"WATER",539506,2014-10-01,9.2,NA,NA,NA,NA,NA,NA,TRUE
"56",704700,"Ground Water","269807","3606398",520,"WATER",541097,2015-01-13,9.4,NA,NA,NA,NA,NA,0.077,TRUE
"57",704700,"Ground Water","269807","3606398",520,"WATER",545210,2015-09-09,10,8,NA,NA,NA,NA,NA,TRUE
"58",704701,"Ground Water",NA,NA,90,"WATER",475584,2006-09-06,NA,NA,NA,NA,NA,NA,1e-05,TRUE
"59",704702,"Groundwater","211831",NA,774,"WATER",475586,2006-09-13,NA,NA,NA,NA,NA,NA,0.48,TRUE
"60",704708,"Domestic Well","17816",NA,25,"WATER",475592,2006-02-16,NA,NA,NA,NA,NA,NA,0.02,TRUE
"61",704769,"Ground Water","244247",NA,400,"WATER",458325,2006-10-06,NA,NA,NA,NA,NA,NA,6.46,TRUE
"62",704771,"Domestic Well","212559","0034346",298,"WATER",458336,2006-12-06,NA,NA,NA,NA,NA,NA,0.01,TRUE
"63",704786,"Irrigation","124731",NA,120,"WATER",458396,2006-09-06,NA,NA,NA,NA,NA,NA,0.04,TRUE
"64",704787,"Domestic Well","156929",NA,390,"WATER",458397,2006-09-25,NA,NA,NA,NA,NA,NA,6,TRUE
"65",704788,"Domestic Well","252360",NA,400,"WATER",458398,2006-08-16,NA,NA,NA,NA,NA,NA,0.03,TRUE
"66",704792,"Ground Water",NA,NA,NA,"WATER",458411,2006-03-07,NA,NA,NA,NA,NA,NA,0.02,TRUE
"67",704793,"Domestic Well",NA,NA,NA,"WATER",458413,2006-03-07,NA,NA,NA,NA,NA,NA,0.02,TRUE
"68",704816,"Domestic Well",NA,NA,NA,"WATER",458502,2006-09-06,NA,NA,NA,NA,NA,NA,0.04,TRUE
"69",704991,"Domestic Well",NA,NA,NA,"WATER",473512,2007-03-07,NA,NA,NA,NA,NA,NA,0.005,TRUE
"70",704992,"Domestic Well",NA,NA,NA,"WATER",473514,2006-11-15,NA,NA,NA,NA,NA,NA,8.13,TRUE
"71",704992,"Domestic Well",NA,NA,NA,"WATER",550875,2016-07-22,NA,NA,NA,NA,NA,NA,0.0048,TRUE
"72",704993,"Domestic Well",NA,NA,NA,"WATER",473516,2006-12-13,NA,NA,NA,NA,NA,NA,0.00092,TRUE
"73",704993,"Domestic Well",NA,NA,NA,"WATER",602089,2018-11-13,NA,NA,NA,NA,NA,NA,0.0049,TRUE
"74",704994,"Domestic Well",NA,NA,NA,"WATER",473519,2007-02-08,NA,NA,NA,NA,NA,NA,4.13,TRUE
"75",704995,"Domestic Well",NA,NA,NA,"WATER",473521,2006-12-13,NA,NA,NA,NA,NA,NA,7.16,TRUE
"76",704996,"Domestic Well","242685",NA,NA,"WATER",473523,2006-11-15,NA,NA,NA,NA,NA,NA,0.28,TRUE
"77",704997,"Domestic Well",NA,NA,NA,"WATER",473526,2006-11-15,NA,NA,NA,NA,NA,NA,9.9,TRUE
"78",704998,"Domestic Well",NA,NA,NA,"WATER",473528,2006-11-16,NA,NA,NA,NA,NA,NA,1.23,TRUE
"79",704999,"Domestic Well",NA,NA,NA,"WATER",473531,2006-11-15,NA,NA,NA,NA,NA,NA,15.4,TRUE
"80",704999,"Domestic Well",NA,NA,NA,"WATER",534131,2013-08-01,NA,NA,NA,NA,NA,NA,22,TRUE
"81",705000,"Domestic Well",NA,NA,NA,"WATER",473536,2006-11-16,NA,NA,NA,NA,NA,NA,3.47,TRUE
"82",705002,"Domestic Well","30883",NA,33,"WATER",473540,2007-04-30,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"83",705030,"Ground Water",NA,NA,NA,"WATER",473667,2007-06-13,NA,2.4,NA,NA,NA,NA,0.02,TRUE
"84",705031,"Ground Water",NA,NA,40,"WATER",473668,2007-06-13,NA,NA,NA,NA,NA,NA,0.005,TRUE
"85",705032,"Ground Water",NA,NA,120,"WATER",473669,2007-06-13,NA,NA,NA,NA,NA,NA,0.005,TRUE
"86",705033,"Ground Water","111496","0112517",420,"WATER",473670,2007-06-13,NA,NA,NA,NA,NA,NA,0.0056,TRUE
"87",705037,"Ground Water",NA,NA,NA,"WATER",473676,2007-06-12,0.74,NA,NA,NA,NA,NA,1.5,TRUE
"88",705043,"Ground Water",NA,NA,NA,"WATER",473688,2007-06-12,NA,4.8,NA,NA,NA,NA,0.005,TRUE
"89",705044,"Ground Water",NA,NA,NA,"WATER",473689,2007-06-12,NA,NA,NA,NA,NA,NA,0.01,TRUE
"90",705048,"Ground Water",NA,NA,NA,"WATER",473695,2007-06-13,NA,NA,NA,NA,NA,NA,0.0059,TRUE
"91",705049,"Ground Water",NA,NA,300,"WATER",473696,2007-06-14,NA,NA,NA,NA,NA,NA,0.005,TRUE
"92",705058,"Domestic Well","82863",NA,NA,"WATER",548088,2015-12-28,NA,NA,NA,NA,NA,NA,0.0016,TRUE
"93",705060,"Domestic Well",NA,NA,NA,"WATER",473709,2007-07-31,NA,NA,NA,NA,NA,NA,2.8,TRUE
"94",705061,"Domestic Well",NA,NA,NA,"WATER",473710,2007-08-18,NA,NA,NA,NA,NA,NA,0.005,TRUE
"95",705064,"Domestic Well","176702","0362412",378,"WATER",534312,2013-08-21,NA,NA,NA,NA,NA,NA,0.03,TRUE
"96",705067,"Domestic Well",NA,NA,NA,"WATER",550856,2016-07-21,NA,NA,NA,NA,NA,NA,0.005,TRUE
"97",705154,"Domestic Well","19174",NA,52,"WATER",473811,2006-08-16,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"98",705155,"Domestic Well",NA,NA,50,"WATER",473812,2006-08-23,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"99",705156,"Domestic Well","13079",NA,55,"WATER",473813,2006-09-25,NA,NA,NA,NA,NA,NA,0.00092,TRUE
"100",705174,"Domestic Well","242015",NA,400,"WATER",475632,2007-10-06,NA,NA,NA,NA,NA,NA,0.005,TRUE
"101",705327,"Ground Water","146570","0011411",200,"WATER",476548,2008-02-06,NA,NA,NA,NA,NA,NA,5.1,TRUE
"102",705327,"Ground Water","146570","0011411",200,"WATER",529956,2012-01-25,NA,NA,NA,NA,NA,NA,0.00085,TRUE
"103",705327,"Ground Water","146570","0011411",200,"WATER",532645,2012-09-06,NA,NA,NA,NA,NA,NA,0.00195,TRUE
"104",705328,"Ground Water","90523",NA,340,"WATER",476549,2008-02-14,NA,NA,NA,NA,NA,NA,0.13,TRUE
"105",705331,"Domestic Well","177622",NA,320,"WATER",545302,2015-08-31,NA,NA,NA,NA,NA,NA,0.001,TRUE
"106",705331,"Domestic Well","177622",NA,320,"WATER",545455,2015-06-03,NA,NA,NA,NA,NA,NA,0.0088,TRUE
"107",705331,"Domestic Well","177622",NA,320,"WATER",550593,2016-06-21,NA,NA,NA,NA,NA,NA,0.0026,TRUE
"108",705331,"Domestic Well","177622",NA,320,"WATER",561376,2017-07-18,NA,NA,NA,NA,NA,NA,0.001,TRUE
"109",705335,"Domestic Well","242491",NA,480,"WATER",476558,2008-02-22,NA,NA,NA,2.4,NA,NA,NA,TRUE
"110",705352,"Domestic Well","225905",NA,920,"WATER",476577,2007-05-18,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"111",705353,"Ground Water","84886","9013277",315,"WATER",529943,2012-03-28,NA,NA,NA,NA,NA,NA,0.03,TRUE
"112",705353,"Ground Water","84886","9013277",315,"WATER",532594,2013-01-07,NA,NA,NA,NA,NA,NA,0.02,TRUE
"113",705355,"Domestic Well","197823",NA,740,"WATER",536965,2014-01-29,NA,NA,NA,NA,NA,NA,1,TRUE
"114",705355,"Domestic Well","197823",NA,740,"WATER",537418,2014-02-05,NA,NA,NA,NA,NA,NA,0.25,TRUE
"115",705357,"Domestic Well","108030",NA,90,"WATER",536509,2014-02-13,NA,NA,NA,NA,NA,NA,0.001,TRUE
"116",705357,"Domestic Well","108030",NA,90,"WATER",543494,2015-03-11,NA,NA,NA,NA,NA,NA,0.001,TRUE
"117",705364,"Stock or  Irrigation","116079",NA,92,"WATER",476593,2007-12-05,NA,NA,NA,NA,NA,NA,0.00083,TRUE
"118",705429,"Domestic Well","228853",NA,680,"WATER",463802,2008-07-21,NA,NA,NA,NA,NA,NA,1.5,TRUE
"119",705446,"Domestic Well","160720",NA,580,"WATER",534105,2013-08-01,NA,NA,NA,NA,NA,NA,6.5,TRUE
"120",705447,"Domestic Well","219853",NA,46,"WATER",535800,2013-12-03,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"121",705447,"Domestic Well","219853",NA,46,"WATER",544426,2015-05-05,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"122",705448,"Domestic Well","99723",NA,100,"WATER",464008,2006-08-08,NA,2.8,NA,NA,NA,NA,NA,TRUE
"123",705494,"Domestic Well","121739","0218239",240,"WATER",464193,2009-06-23,NA,NA,NA,NA,NA,NA,0.0012,TRUE
"124",705499,"Domestic Well","209646",NA,495,"WATER",533387,2013-02-15,NA,NA,NA,NA,NA,NA,0.16,TRUE
"125",705499,"Domestic Well","209646",NA,495,"WATER",537383,2014-03-14,NA,NA,NA,NA,NA,NA,0.05,TRUE
"126",705542,"Domestic Well",NA,NA,NA,"WATER",464245,2006-08-29,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"127",705543,"Ground Water","80911","9065604",90,"WATER",464246,2006-08-02,NA,3.8,NA,NA,NA,NA,0.0081,TRUE
"128",705543,"Ground Water","80911","9065604",90,"WATER",533880,2013-06-20,NA,NA,NA,NA,NA,NA,0.00965,TRUE
"129",705543,"Ground Water","80911","9065604",90,"WATER",533883,2013-06-20,NA,NA,NA,NA,NA,NA,0.01,TRUE
"130",705543,"Ground Water","80911","9065604",90,"WATER",538740,2014-06-12,NA,NA,NA,NA,NA,NA,0.01,TRUE
"131",705544,"Domestic Well",NA,NA,60,"WATER",535347,2013-07-23,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"132",705544,"Domestic Well",NA,NA,60,"WATER",535891,2013-12-18,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"133",705547,"Domestic Well",NA,NA,400,"WATER",536949,2014-01-15,NA,NA,NA,NA,NA,NA,0.0092,TRUE
"134",705552,"Domestic Well","118419",NA,58,"WATER",464255,2008-10-21,NA,NA,NA,NA,NA,NA,0.005,TRUE
"135",705552,"Domestic Well","118419",NA,58,"WATER",549730,2016-05-18,NA,NA,NA,NA,NA,NA,0.01,TRUE
"136",705553,"Ground Water","115196",NA,60,"WATER",464257,2008-10-21,NA,NA,NA,NA,NA,NA,0.0063,TRUE
"137",705553,"Ground Water","115196",NA,60,"WATER",549729,2016-05-18,NA,NA,NA,NA,NA,NA,0.01,TRUE
"138",705556,"Domestic Well","75033",NA,NA,"WATER",464261,2006-08-23,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"139",705558,"Irrigation","12045","9061016",76,"WATER",464262,2006-08-29,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"140",705561,"Domestic Well","243276",NA,275,"WATER",464264,2008-10-23,NA,NA,NA,NA,NA,NA,1.4,TRUE
"141",705573,"Domestic Well","29238",NA,700,"WATER",535790,2013-11-06,NA,NA,NA,NA,NA,NA,10,TRUE
"142",705577,"Domestic Well",NA,NA,NA,"WATER",464280,2009-02-05,NA,NA,NA,NA,NA,NA,7.6,TRUE
"143",705583,"Domestic Well","221681","0450316",885,"WATER",550264,2016-06-10,NA,NA,NA,NA,NA,NA,26,TRUE
"144",705592,"Domestic Well","201558",NA,685,"WATER",464301,2008-09-22,NA,NA,NA,NA,NA,NA,26,TRUE
"145",705592,"Domestic Well","201558",NA,685,"WATER",464304,2009-03-11,NA,NA,NA,NA,NA,NA,38,TRUE
"146",705592,"Domestic Well","201558",NA,685,"WATER",532598,2013-03-20,NA,NA,NA,NA,NA,NA,0.005,TRUE
"147",705593,"Ground Water","2042460",NA,920,"WATER",464306,2009-03-25,NA,NA,NA,NA,NA,NA,10,TRUE
"148",705593,"Ground Water","2042460",NA,920,"WATER",530736,2012-06-19,NA,NA,NA,NA,NA,NA,9.14,TRUE
"149",705593,"Ground Water","2042460",NA,920,"WATER",533901,2013-05-23,NA,NA,NA,NA,NA,NA,10.1,TRUE
"150",705660,"Ground Water",NA,NA,NA,"WATER",478251,2009-04-02,NA,NA,NA,NA,NA,NA,10,TRUE
"151",705731,"Domestic Well","89456","9065888",52,"WATER",478367,2008-12-08,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"152",705736,"Stock or  Irrigation","137057","0247591",106,"WATER",478377,2008-08-12,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"153",705746,"Domestic Well","280098","3637708B",450,"WATER",478430,2009-08-11,NA,12,NA,NA,NA,NA,NA,TRUE
"154",705746,"Domestic Well","280098","3637708B",450,"WATER",542228,2010-06-02,NA,0.72,NA,NA,NA,NA,24.5,TRUE
"155",705751,"Ground Water","268537",NA,810,"WATER",478437,2009-08-17,NA,NA,NA,NA,NA,NA,11,TRUE
"156",705757,"Ground Water","80805",NA,400,"WATER",478446,2009-04-29,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"157",705757,"Ground Water","80805",NA,400,"WATER",535770,2013-09-23,NA,NA,NA,NA,NA,NA,0.00065,TRUE
"158",705758,"Domestic Well","86733",NA,NA,"WATER",478448,2009-06-10,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"159",705759,"Ground Water","166392",NA,369,"WATER",478450,2009-08-10,NA,NA,NA,NA,NA,NA,9.4,TRUE
"160",705760,"Domestic Well","268536",NA,740,"WATER",478452,2009-09-23,NA,NA,NA,NA,NA,NA,13,TRUE
"161",705763,"Domestic Well","198408",NA,200,"WATER",562218,2017-11-28,NA,NA,NA,NA,NA,NA,0.0054,TRUE
"162",705763,"Domestic Well","198408",NA,200,"WATER",607068,2019-04-03,NA,NA,NA,NA,NA,NA,0.0049,TRUE
"163",705763,"Domestic Well","198408",NA,200,"WATER",608229,2019-04-03,NA,NA,NA,NA,NA,NA,0.0049,TRUE
"164",705769,"Domestic Well","255888",NA,NA,"WATER",478464,2009-01-20,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"165",705770,"Domestic Well","145846",NA,NA,"WATER",478465,2009-01-07,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"166",705771,"Ground Water","9989",NA,120,"WATER",478466,2009-05-27,NA,NA,NA,NA,NA,NA,0.36,TRUE
"167",705772,"Ground Water","192000",NA,NA,"WATER",478467,2009-10-01,NA,NA,NA,NA,NA,NA,0.02,TRUE
"168",705774,"Ground Water","269741",NA,580,"WATER",478470,2009-04-03,NA,NA,NA,NA,NA,NA,0.0016,TRUE
"169",705775,"Ground Water","176138",NA,960,"WATER",478472,2009-04-06,NA,NA,NA,NA,NA,NA,14,TRUE
"170",705776,"Ground Water","2522249",NA,560,"WATER",478474,2009-03-31,NA,NA,NA,NA,NA,NA,8.4,TRUE
"171",705776,"Ground Water","2522249",NA,560,"WATER",536340,2013-01-09,NA,NA,NA,NA,NA,NA,16,TRUE
"172",705776,"Ground Water","2522249",NA,560,"WATER",537057,2014-02-18,NA,NA,NA,NA,NA,NA,18,TRUE
"173",705778,"Ground Water","237860","0477094",630,"WATER",478478,2009-03-24,NA,NA,NA,NA,NA,NA,10,TRUE
"174",705779,"Ground Water","59163",NA,540,"WATER",478480,2009-03-30,NA,NA,NA,NA,NA,NA,11,TRUE
"175",705779,"Ground Water","59163",NA,540,"WATER",531012,2012-09-12,NA,NA,NA,NA,NA,NA,15.9,TRUE
"176",705779,"Ground Water","59163",NA,540,"WATER",534147,2013-07-18,NA,NA,NA,NA,NA,NA,12.5,TRUE
"177",705781,"Ground Water","65559",NA,560,"WATER",478484,2009-03-30,NA,NA,NA,NA,NA,NA,11,TRUE
"178",705782,"Ground Water","177718","0365182",384,"WATER",478487,2009-04-06,NA,NA,NA,NA,NA,NA,13,TRUE
"179",705783,"Ground Water","233279",NA,710,"WATER",478489,2009-03-31,NA,NA,NA,NA,NA,NA,14,TRUE
"180",705784,"Ground Water","264620",NA,600,"WATER",478491,2009-03-31,NA,NA,NA,NA,NA,NA,11,TRUE
"181",705785,"Ground Water","197462","0402709",720,"WATER",478493,2009-03-24,NA,NA,NA,NA,NA,NA,12,TRUE
"182",705786,"Irrigation","11585",NA,75,"WATER",478495,2009-03-31,NA,NA,NA,NA,NA,NA,0.001,TRUE
"183",705787,"Ground Water","212796",NA,1080,"WATER",478497,2009-04-02,NA,NA,NA,NA,NA,NA,11,TRUE
"184",705788,"Ground Water","25090",NA,30,"WATER",478499,2009-05-04,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"185",705789,"Ground Water",NA,NA,65,"WATER",478501,2009-03-30,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"186",705790,"Ground Water",NA,NA,65,"WATER",478503,2009-03-30,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"187",705791,"Ground Water",NA,NA,32,"WATER",478505,2009-04-01,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"188",705792,"Ground Water","80363",NA,180,"WATER",478506,2007-05-10,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"189",705793,"Ground Water",NA,NA,70,"WATER",478508,2009-03-31,NA,NA,NA,NA,NA,NA,0.0042,TRUE
"190",705794,"Ground Water","184539",NA,60,"WATER",478510,2009-03-25,NA,NA,NA,NA,NA,NA,0.0022,TRUE
"191",705795,"Ground Water","271914",NA,860,"WATER",478511,2009-03-30,NA,NA,NA,NA,NA,NA,11,TRUE
"192",705796,"Ground Water","241718",NA,800,"WATER",478513,2009-03-30,NA,NA,NA,NA,NA,NA,13,TRUE
"193",705797,"Ground Water","37299",NA,40,"WATER",478515,2008-12-28,NA,NA,NA,NA,NA,NA,0.00083,TRUE
"194",705798,"Ground Water",NA,NA,NA,"WATER",478516,2007-05-23,NA,NA,NA,NA,NA,NA,8e-04,TRUE
"195",705803,"Ground Water","51775",NA,407,"WATER",606534,2019-04-10,NA,NA,NA,NA,NA,NA,0.12,TRUE
"196",705898,"Ground Water",NA,NA,NA,"WATER",478699,2010-02-24,NA,NA,NA,NA,NA,NA,0.005,TRUE
"197",705905,"Groundwater",NA,NA,365,"WATER",478707,2009-09-09,NA,NA,NA,NA,NA,NA,5,TRUE
"198",707166,"Ground Water","65122",NA,820,"WATER",469858,2010-11-10,NA,NA,NA,NA,NA,NA,3.21,TRUE
"199",707168,"Groundwater",NA,NA,1280,"WATER",469861,2011-01-11,NA,NA,NA,NA,NA,NA,27,TRUE
"200",707199,"Ground Water","147389","0273173",NA,"WATER",450938,2011-05-23,NA,NA,NA,NA,NA,NA,0.02,TRUE
"201",707272,"Groundwater","78667",NA,270,"WATER",469981,2011-04-06,NA,NA,NA,NA,NA,NA,0.013,TRUE
"202",707278,"Ground Water",NA,NA,NA,"WATER",532002,2012-07-12,NA,NA,NA,NA,NA,NA,0.005,TRUE
"203",707285,"Ground Water","32897",NA,NA,"WATER",532010,2011-02-16,NA,NA,NA,NA,NA,NA,0.02,TRUE
"204",707285,"Ground Water","32897",NA,NA,"WATER",556120,2017-02-28,NA,NA,NA,NA,NA,NA,0.001,TRUE
"205",707290,"Ground Water","277205","3627771",290,"WATER",470001,2011-02-16,NA,NA,NA,NA,NA,NA,0.03,TRUE
"206",707291,"Ground Water","181708","0373410",208,"WATER",470002,2011-02-16,NA,NA,NA,NA,NA,NA,0.02,TRUE
"207",707291,"Ground Water","181708","0373410",208,"WATER",530655,2012-06-20,NA,NA,NA,NA,NA,NA,0.32,TRUE
"208",707296,"Ground Water","192916","0396016",260,"WATER",470015,2011-02-15,NA,NA,NA,NA,NA,NA,0.02,TRUE
"209",707296,"Ground Water","192916","0396016",260,"WATER",530017,2012-06-20,NA,NA,NA,NA,NA,NA,0.23,TRUE
"210",707297,"Ground Water","177620","0377196",280,"WATER",470016,2011-02-15,NA,NA,NA,NA,NA,NA,0.02,TRUE
"211",707297,"Ground Water","177620","0377196",280,"WATER",530391,2012-09-18,NA,NA,NA,NA,NA,NA,0.00946,TRUE
"212",707302,"Ground Water","213305",NA,690,"WATER",536379,2014-01-22,NA,NA,NA,NA,NA,NA,14.7,TRUE
"213",707304,"Domestic Well",NA,NA,NA,"WATER",470023,2011-02-19,NA,NA,NA,NA,NA,NA,0.02,TRUE
"214",707304,"Domestic Well",NA,NA,NA,"WATER",530011,2012-06-26,NA,NA,NA,NA,NA,NA,0.00709,TRUE
"215",707305,"Ground Water","179046","0370006",290,"WATER",470024,2011-02-18,NA,NA,NA,NA,NA,NA,0.07,TRUE
"216",707305,"Ground Water","179046","0370006",290,"WATER",531150,2012-11-29,NA,NA,NA,NA,NA,NA,0.00342,TRUE
